ids,gender,currenrl,compgrad,currlive,parbrkup,FAITH1,prayansr,miracle,comitgod,attreg,churtype,ATTEND1,ATHEIST1,WORKHRS1,socnet,SOCNET4,god,drink,drunk,smoke,pot,fight,trauma,future,GUILT1,meanless,body,lifesat,helpless,sad,accepted,alienate,invisibl,health,earnings,debt,agecats,bmi,employst
6865,Male,"Yes, enrolled in school",12th grade,"Group quarters, like a dorm, sorority, or fraternity house",1,Extremely important,Yes,Yes,Yes,Yes,Non-denominational Protestant,Once a week,,10,Yes,Three to five days a week,Yes,Never,,Never,Never,Never,No,Fairly often,Sometimes,Rarely,Very happy,Agree,Disagree,Sometimes,Some,A little,A little,Very good,"$2,001 - $4,000",No debt,18,20.96744347,Employed and school
6868,Female,"No, not in school",12th grade,Your own place,0,Extremely important,Yes,Yes,Yes,Yes,Bible church/Bible believing,More than once a week,,0,No,,Yes,A few times a month,Never,Never,Never,Never,No,Very often,Never,Never,Somewhat happy,Strongly agree,Strongly disagree,Sometimes,A lot,None,None,Excellent,No income,$601 - $800,22,20.67212677,Out of labor force
6882,Female,"No, not in school",11th grade,Your parent's home,0,Very,Yes,Yes,Yes,Yes,Baptist,More than once a week,Something else,40,Yes,About once a day,Yes,Never,,Never,Never,Once or twice,Yes,Very often,Very often,Very often,Very happy,Strongly disagree,Agree,Rarely,A lot,A little,A little,Fair,"$12,001 - $14,000","$1,801 - $2,000",21,42.90771484,Employed
6883,Male,"Yes, enrolled in school",One year of college,"Group quarters, like a dorm, sorority, or fraternity house",0,Somewhat,No,No,Yes,Yes,Baptist,Once a month,,0,Yes,One to two days a week,Yes,A few times a week,Five or more times,Once a day or more,Once a day or more,Never,No,Sometimes,Rarely,Never,Somewhat happy,Agree,Disagree,Never,A lot,None,None,Very good,"$4,001 - $6,000","$1,001 - $1,200",19,23.62528801,In school only
6884,Male,"No, not in school",One year of college,Your parent's home,0,Not important at all,Yes,Yes,Yes,No,,,Something else,0,Yes,About once a day,Yes,Never,,Once a day or more,Never,Three to five times,No,Sometimes,Very often,Very often,Somewhat happy,Disagree,Agree,Usually,None,A lot,Some,Good,"$4,001 - $6,000","$801 - $1,000",20,21.41041756,No school or work but looking
6886,Female,"Yes, enrolled in school",12th grade,"Group quarters, like a dorm, sorority, or fraternity house",1,Very,No,Yes,No,Yes,Baptist,2-3 times a month,,0,Yes,About once a day,Yes,About once a month,Never,Never,Never,Never,No,Very often,Rarely,Never,Somewhat happy,Agree,Disagree,Sometimes,A lot,A little,None,Excellent,"$2,000 or Less",No debt,19,34.94201279,In school only
6888,Male,"Yes, enrolled in school",Four years of college/grad school,Your own place,0,Extremely important,Yes,Yes,Yes,Yes,Lutheran,Once a month,,0,Yes,Three to five days a week,Yes,About once a week,Once or twice,Never,Never,Never,No,Fairly often,Rarely,Never,Very happy,Strongly agree,Disagree,Never,A lot,None,None,Excellent,"$4,001 - $6,000",No debt,23,25.82448959,In school only
6892,Female,"No, not in school",Three years of college,Your parent's home,0,Very,Yes,Yes,Yes,Yes,Non-denominational Protestant,Once a week,,50,Yes,Several times a day,Yes,A few times a year,Never,Never,Never,Never,No,Very often,Fairly often,Never,Somewhat happy,Agree,Disagree,Rarely,A lot,None,None,Excellent,"$2,001 - $4,000",No debt,22,34.6981163,Employed
6894,Female,"No, not in school",Four years of college/grad school,Your own place,0,Extremely important,No,No,No,Yes,Methodist,Once a month,,40,Yes,About once a day,Yes,About once a week,Once or twice,Never,Never,Never,Yes,Very often,Never,Never,Somewhat happy,Strongly agree,Disagree,Rarely,A lot,A little,None,Excellent,"$24,001 - $26,000","$9,801 - $10,000",23,21.11510277,Employed
6896,Male,"Yes, enrolled in school",12th grade,Another person's home,0,Extremely important,Yes,Yes,No,Yes,Jewish,A few times a year,,68,No,,Yes,A few times a week,Once or twice,Once a day or more,Never,More than five times,No,Very often,Never,Very often,Very happy,Agree,Strongly disagree,Rarely,A lot,None,A little,Excellent,"$14,001 - $16,000",No debt,21,21.15509224,Employed and school
6897,Female,"No, not in school",12th grade,Your parent's home,1,Not important at all,No,No,No,No,,,Agnostic,55,Yes,Several times a day,Unsure/Don't know,About once a week,Once or twice,Never,Never,Never,No,Very often,Sometimes,Never,Somewhat happy,Disagree,Disagree,Sometimes,Some,Some,A little,Good,"$14,001 - $16,000",No debt,19,26.56840515,Employed
6900,Female,"No, not in school",Four years of college/grad school,Your own place,2,Very,Yes,Yes,Yes,Yes,Baptist,2-3 times a month,,40,Yes,Less than every few weeks,Yes,About once a month,Once or twice,Never,Never,Never,Yes,Very often,Sometimes,Rarely,Neither,Agree,Disagree,Sometimes,A lot,A little,None,Fair,"$6,001 - $8,000",,22,25.79053307,Employed
6902,Female,"No, not in school",12th grade,Your parent's home,0,Very,No,No,No,Yes,Catholic,A few times a year,,0,Yes,Every few weeks,Yes,About once a month,Never,Never,Never,Once or twice,Yes,Sometimes,Sometimes,Rarely,Somewhat unhappy,Disagree,Agree,Sometimes,A little,A little,A little,Good,"$18,001 - $20,000",No debt,18,35.86734772,Out of labor force
6904,Female,"No, not in school",12th grade,Your own place,1,Extremely important,No,No,No,Yes,Presbyterian,Many times a year,,40,Yes,Less than every few weeks,Yes,A few times a year,Five or more times,Never,Never,Never,Yes,Very often,Sometimes,Never,Somewhat happy,Strongly agree,Strongly disagree,Rarely,Some,Some,Some,Fair,"$10,001 - 12,000","$1,401 - $1,600",22,23.68505859,Employed
6906,Male,"No, not in school",12th grade,Your parent's home,1,Somewhat,No,No,No,No,,,Not religious,0,Yes,Every few weeks,Unsure/Don't know,A few times a month,Never,Never,Never,Never,No,Very often,Never,Never,Very happy,Agree,Disagree,Never,A lot,None,None,Good,No income,No debt,19,35.03738022,No school or work but looking
6912,Male,"Yes, enrolled in school",12th grade,"Group quarters, like a dorm, sorority, or fraternity house",0,Not very,No,No,No,No,,,Not religious,50,Yes,Three to five days a week,Unsure/Don't know,A few times a week,Five or more times,Never,Never,Once or twice,Yes,Very often,Fairly often,Never,Somewhat unhappy,Agree,Disagree,Sometimes,A lot,A little,None,Fair,"$24,001 - $26,000",$201 - $400,21,26.45372009,Active armed forces
6918,Female,"No, not in school",One year of college,Your own place,3,Somewhat,No,Yes,Yes,No,,,Something else,20,Yes,One to two days a week,Yes,A few times a year,Never,Never,A few times a year,Never,No,Fairly often,Never,Never,Very happy,Strongly agree,Strongly disagree,Never,A lot,None,None,Very good,"$6,001 - $8,000",No debt,22,22.59412384,Employed
6920,Male,"No, not in school",One year of college,Your own place,0,Not very,No,No,No,No,,,Not religious,0,No,,Unsure/Don't know,A few times a month,Once or twice,Once a day or more,Once a day or more,Once or twice,Yes,Very often,Rarely,Never,Very happy,Strongly agree,Strongly disagree,Rarely,A lot,None,None,Good,"$8,001 - $10,000","$2,801 - $3,000",20,32.0749855,No school or work but looking
6926,Male,"No, not in school",Two years of college,Another person's home,3,Extremely important,Yes,Yes,Yes,Yes,Church of Christ (Churches of Christ),A few times a year,,44,No,,Yes,About once a week,Once or twice,About once a week,Never,Never,No,Very often,Very often,Never,Very happy,Strongly agree,Disagree,Sometimes,A lot,A lot,None,Excellent,"$2,001 - $4,000",No debt,20,25.06473923,Employed
6928,Male,"Yes, enrolled in school",Two years of college,Your own place,0,Very,Yes,No,No,Yes,Baptist,Once a week,,0,Yes,One to two days a week,Yes,A few times a month,Once or twice,Never,Never,Never,No,Fairly often,Sometimes,Never,Somewhat happy,Agree,Disagree,Rarely,A lot,None,None,Good,"$4,001 - $6,000",No debt,21,23.73167419,In school only
6931,Female,"No, not in school",One year of college,Your own place,0,Very,Yes,Yes,Yes,Yes,Non-denominational Protestant,Once a week,,35,Yes,Three to five days a week,Yes,About once a month,Three or four times,A few times a month,Never,Once or twice,Yes,Very often,Sometimes,Sometimes,Somewhat happy,Strongly agree,Agree,Sometimes,Some,Some,None,Very good,"$22,001 - $24,000","$4,801 - $5,000",21,21.92470551,Employed
6932,Female,"No, not in school",12th grade,Your own place,0,Extremely important,No,No,No,Yes,Baptist,A few times a year,,40,Yes,Less than every few weeks,Yes,About once a month,Once or twice,Once a day or more,Never,Never,Yes,Very often,Sometimes,Never,Very happy,Disagree,Agree,Rarely,A lot,A little,None,Excellent,"$18,001 - $20,000",No debt,22,19.20265388,Employed
6933,Male,"No, not in school",12th grade,"Group quarters, like a dorm, sorority, or fraternity house",0,Somewhat,No,No,No,Yes,Roman Catholic,A few times a year,,60,Yes,One to two days a week,Yes,A few times a week,Five or more times,Once a day or more,Never,Three to five times,No,Fairly often,Rarely,Never,Somewhat happy,Strongly agree,Disagree,Rarely,A lot,A little,None,Very good,"$38,001 - $40,000","$4,801 - $5,000",21,22.80493164,Active armed forces
6935,Female,"No, not in school",12th grade,Your parent's home,0,Not important at all,No,No,No,No,,,Not religious,40,No,,Unsure/Don't know,Never,,Never,Never,Once or twice,No,Sometimes,Fairly often,Very often,Neither,Strongly disagree,Agree,Usually,A little,A lot,A lot,Fair,"$8,001 - $10,000",$601 - $800,22,20.36911011,Employed
6938,Male,"Yes, enrolled in school",11th grade,Your parent's home,0,Somewhat,No,No,No,Yes,Baptist,Once a week,,0,Yes,About once a day,Yes,A few times a month,Once or twice,Never,About once a month,Once or twice,No,Fairly often,Sometimes,Never,Somewhat happy,Agree,Disagree,Rarely,A lot,A little,None,Very good,"$2,000 or Less",No debt,18,27.36591721,In school only
6943,Female,"Yes, enrolled in school",12th grade,Your own place,0,Very,No,No,Yes,Yes,Presbyterian,Once a week,,0,Yes,About once a day,Yes,About once a week,Once or twice,Never,Never,Never,No,Never,Fairly often,Sometimes,Somewhat happy,Disagree,Strongly agree,Sometimes,A lot,A lot,A little,Very good,"$2,000 or Less",No debt,19,19.1955471,In school only
6946,Female,"No, not in school",9th grade,Your parent's home,2,Somewhat,No,No,No,No,,,Something else,40,Yes,Several times a day,Yes,A few times a month,Five or more times,Once a day or more,Once a day or more,Three to five times,Yes,Very often,Never,Sometimes,Very happy,Disagree,Disagree,Sometimes,A lot,A little,None,Very good,"$2,000 or Less",No debt,19,18.24394417,Employed
6947,Male,"Yes, enrolled in school",3rd grade,Your parent's home,0,Somewhat,No,No,No,No,,,Not religious,25,Yes,Every few weeks,Yes,A few times a month,Once or twice,A few times a month,A few times a year,Never,Yes,Very often,Rarely,Never,Somewhat happy,Agree,Disagree,Rarely,Some,A little,A little,Very good,"$14,001 - $16,000",No debt,21,27.89129066,Employed and school
7000,Female,"Yes, enrolled in school",12th grade,Your parent's home,0,Very,No,No,No,Yes,Baptist,2-3 times a month,,35,Yes,Three to five days a week,Yes,Never,,Never,Never,Never,No,Very often,Sometimes,Never,Somewhat happy,Agree,Disagree,Rarely,A lot,None,A little,Fair,"$12,001 - $14,000",No debt,20,28.2863903,Employed and school
7001,Male,"Yes, enrolled in school",Four years of college/grad school,Your own place,0,Not very,No,No,No,No,,,Not religious,15,Yes,Every few weeks,Unsure/Don't know,A few times a week,Once or twice,About once a week,Never,Never,No,Very often,Never,Never,Very happy,Agree,Disagree,Rarely,A lot,None,None,Very good,"$2,000 or Less",No debt,22,20.34143448,Employed and school
7003,Male,"No, not in school",Two years of college,Your parent's home,1,Extremely important,Yes,Yes,Yes,Yes,Lutheran,Once a month,,40,Yes,Several times a day,Yes,A few times a week,Three or four times,Once a day or more,A few times a year,More than five times,Yes,Sometimes,Sometimes,Sometimes,Somewhat happy,Agree,Disagree,Sometimes,A lot,A little,None,Good,"$30,001 - $32,000","$2,801 - $3,000",21,43.39506149,Employed
7004,Male,"No, not in school",12th grade,"Group quarters, like a dorm, sorority, or fraternity house",1,Not very,No,No,No,Yes,Methodist,2-3 times a month,Something else,100,Yes,Three to five days a week,Yes,Never,,Never,Never,Never,No,Sometimes,Sometimes,Never,Somewhat happy,Agree,Strongly disagree,Never,Some,None,None,Excellent,"$6,001 - $8,000",No debt,19,20.67212677,Active armed forces
7041,Female,"Yes, enrolled in school",One year of college,"Group quarters, like a dorm, sorority, or fraternity house",0,Somewhat,No,Yes,No,No,,,,10,Yes,Three to five days a week,Yes,About once a week,Once or twice,Never,A few times a year,Never,Yes,Very often,Never,Never,Somewhat unhappy,Agree,Disagree,Sometimes,Some,Some,None,Very good,"$14,001 - $16,000",No debt,19,29.80983353,Employed and school
7046,Female,"No, not in school",12th grade,Your parent's home,0,Very,Yes,Yes,No,Yes,Baptist,2-3 times a month,Something else,40,Yes,Several times a day,Yes,Never,,Never,Never,Never,Yes,Very often,Rarely,Never,Somewhat happy,Agree,Disagree,Sometimes,A lot,None,None,Good,No income,No debt,18,26.62248611,Employed
7059,Female,"Yes, enrolled in school",11th grade,Your parent's home,0,Somewhat,No,No,No,Yes,Evangelical Covenant Church,Once a week,,15,Yes,One to two days a week,Yes,A few times a year,Once or twice,Never,Never,Never,No,Very often,Sometimes,Rarely,Very happy,Agree,Disagree,Rarely,A lot,A little,None,Very good,"$2,001 - $4,000",No debt,18,20.17332458,Employed and school
7082,Male,"Yes, enrolled in school",Three years of college,Your own place,1,Somewhat,Yes,No,No,No,,,Something else,15,Yes,Three to five days a week,Yes,A few times a week,Three or four times,A few times a year,About once a week,More than five times,Yes,Very often,Fairly often,Rarely,Very happy,Agree,Disagree,Rarely,A lot,A little,None,Excellent,"$18,001 - $20,000","$1,801 - $2,000",21,23.67244911,Employed and school
7083,Male,"No, not in school",Four years of college/grad school,Your parent's home,0,Extremely important,Yes,No,Yes,Yes,Christian or just Christian,2-3 times a month,,40,Yes,Three to five days a week,Yes,About once a week,Never,Never,Never,Never,No,Fairly often,Sometimes,Never,Very happy,Strongly agree,Disagree,Rarely,A lot,None,None,Excellent,"$24,001 - $26,000",$200 or less,22,24.3897953,Employed
7095,Female,"Yes, enrolled in school",12th grade,Your parent's home,0,Very,Yes,Yes,No,No,,,,30,No,,Yes,A few times a year,Never,Once a day or more,Once a day or more,Never,No,Very often,Sometimes,Never,Very happy,Agree,Strongly disagree,Rarely,A lot,None,None,Very good,,No debt,18,19.76427269,Employed and school
7096,Male,"Yes, enrolled in school",Two years of college,Your own place,0,Very,Yes,No,Yes,Yes,Roman Catholic,2-3 times a month,,0,Yes,Three to five days a week,Yes,A few times a week,Three or four times,Never,A few times a year,Once or twice,Yes,Very often,Very often,Never,Very happy,Agree,Disagree,Rarely,A lot,None,None,Very good,"$8,001 - $10,000",No debt,21,23.08594513,In school only
7097,Male,"Yes, enrolled in school",12th grade,Your parent's home,1,Extremely important,Yes,Yes,Yes,Yes,Baptist,Once a week,,32,Yes,Several times a day,Yes,Never,,Never,Never,Never,Yes,Very often,Rarely,Never,Very happy,Strongly agree,Strongly disagree,Rarely,A lot,A little,None,Excellent,"$4,001 - $6,000",No debt,19,21.61575127,Employed and school
7104,Female,"Yes, enrolled in school",12th grade,Your parent's home,0,Extremely important,Yes,No,No,No,,,,0,No,,Yes,Never,,Never,Never,Never,No,Never,Never,Never,Very happy,Agree,Disagree,Sometimes,A lot,None,None,Excellent,No income,No debt,20,27.80826378,In school only
7106,Female,"Yes, enrolled in school",One year of college,Your own place,0,Extremely important,Yes,No,Yes,Yes,Baptist,More than once a week,,25,Yes,About once a day,Yes,A few times a year,Never,Never,Never,Never,No,Very often,Rarely,Never,Very happy,Agree,Strongly disagree,Rarely,A lot,None,None,Excellent,"$18,001 - $20,000",No debt,19,22.27134895,Employed and school
7133,Male,"Yes, enrolled in school",11th grade,Your parent's home,1,Very,No,Yes,Yes,Yes,Baptist,Once a week,,40,Yes,Several times a day,Yes,Never,,Never,Never,Never,Yes,Sometimes,Sometimes,Never,Very happy,Strongly agree,Disagree,Never,None,None,None,Excellent,"$2,000 or Less",No debt,24,25.82185555,Employed and school
7146,Female,"Yes, enrolled in school",Two years of college,Your own place,0,Somewhat,Yes,No,No,Yes,Roman Catholic,Many times a year,,35,Yes,Several times a day,Yes,A few times a week,Five or more times,A few times a week,Never,Never,No,Rarely,Rarely,Never,Somewhat unhappy,Strongly agree,Disagree,Sometimes,A lot,None,None,Very good,"$24,001 - $26,000","$2,801 - $3,000",21,23.22606659,Employed and school
7147,Male,"No, not in school",12th grade,Your parent's home,0,Somewhat,No,Yes,No,Yes,Baptist,A few times a year,,50,No,,Yes,A few times a week,Five or more times,Never,A few times a year,More than five times,No,Very often,Sometimes,Never,Very happy,Agree,Disagree,Rarely,A lot,None,None,Very good,"$20,001 - $22,000",$401 - $600,19,19.89864922,Employed
7180,Male,"No, not in school",12th grade,Your own place,1,Somewhat,No,No,No,Yes,Christian or just Christian,Once a month,,60,Yes,Three to five days a week,Yes,A few times a week,Three or four times,Never,Never,Never,No,Very often,Sometimes,Sometimes,Very happy,Agree,Disagree,Sometimes,A lot,Some,None,Good,"$28,001 - $30,000",No debt,19,17.62924385,Employed
7188,Female,"No, not in school",12th grade,Your parent's home,1,Somewhat,Yes,Yes,Yes,Yes,Non-denominational Protestant,2-3 times a month,,30,Yes,About once a day,Yes,A few times a month,Never,Once a day or more,Never,Once or twice,Yes,Very often,Very often,Fairly often,Somewhat happy,Agree,Agree,Sometimes,A lot,Some,Some,Good,"$8,001 - $10,000",No debt,18,16.94559288,Employed
7198,Male,"Yes, enrolled in school",12th grade,"Group quarters, like a dorm, sorority, or fraternity house",3,Not very,Yes,No,No,Yes,Christian or just Christian,A few times a year,,0,Yes,One to two days a week,Yes,A few times a week,Once or twice,About once a month,Never,Never,No,Very often,Sometimes,Never,Somewhat happy,Agree,Disagree,Never,A little,None,None,Very good,"$2,000 or Less",No debt,19,25.7994442,In school only
7208,Male,"No, not in school",Four years of college/grad school,Your own place,0,Somewhat,No,No,No,Yes,Episcopalian,A few times a year,,55,Yes,One to two days a week,Yes,Once a day or more,Three or four times,About once a week,Never,Once or twice,No,Very often,Fairly often,Never,Very happy,Strongly agree,Disagree,Rarely,A lot,None,None,Very good,"$50,001 or more",No debt,22,25.03378296,Employed
7209,Female,"No, not in school",12th grade,"Group quarters, like a dorm, sorority, or fraternity house",6,Very,Yes,Yes,Yes,Yes,Baptist,A few times a year,,75,Yes,Every few weeks,Yes,Never,,Never,Never,Never,Yes,Very often,Sometimes,Sometimes,Somewhat happy,Agree,Strongly disagree,Sometimes,A lot,None,None,Very good,"$14,001 - $16,000",No debt,19,20.50416756,Active armed forces
7210,Female,"Yes, enrolled in school",Three years of college,Your own place,0,Very,Yes,No,No,No,,,,20,Yes,Several times a day,Yes,A few times a week,Three or four times,Never,A few times a year,Never,Yes,Very often,Rarely,Never,Somewhat unhappy,Agree,Disagree,Rarely,A lot,A little,None,Very good,"$10,001 - 12,000","$801 - $1,000",21,21.78718948,Employed and school
7214,Male,"No, not in school",Three years of college,Your own place,0,Not important at all,No,No,No,No,,,Not religious,40,No,,Unsure/Don't know,About once a week,Once or twice,Never,Never,Never,No,Fairly often,Very often,Sometimes,Somewhat unhappy,Disagree,Agree,Usually,A little,Some,A lot,Good,"$18,001 - $20,000",$401 - $600,22,27.89129066,Employed
7215,Male,"Yes, enrolled in school",Three years of college,"Group quarters, like a dorm, sorority, or fraternity house",1,Not very,No,No,No,No,,,Not religious,0,Yes,Every few weeks,Unsure/Don't know,About once a week,Once or twice,A few times a week,A few times a year,Never,No,Rarely,Sometimes,Never,Somewhat unhappy,Agree,Disagree,Sometimes,Some,Some,A little,Very good,"$4,001 - $6,000",No debt,22,29.28585625,In school only
7216,Male,"No, not in school",12th grade,Your parent's home,0,Extremely important,Yes,Yes,Yes,Yes,Pentecostal,More than once a week,,30,Yes,Every few weeks,Yes,A few times a year,Never,A few times a week,Never,Once or twice,No,Fairly often,Sometimes,Rarely,Somewhat unhappy,Agree,Agree,Sometimes,Some,A little,A little,Fair,"$4,001 - $6,000",No debt,19,37.75878906,Employed
7222,Female,"No, not in school",One year of college,Your parent's home,1,Somewhat,Yes,No,No,Yes,Baptist,A few times a year,,40,Yes,Several times a day,Yes,A few times a month,Never,Never,Never,Once or twice,Yes,Very often,Rarely,Sometimes,Neither,Agree,Disagree,Sometimes,Some,Some,A little,Good,"$2,000 or Less",No debt,20,34.13989639,Employed
7228,Female,"No, not in school",One year of college,Your own place,0,Very,Yes,Yes,Yes,No,,,Something else,0,Yes,About once a day,Yes,About once a week,Once or twice,A few times a week,Never,Never,Yes,Very often,Sometimes,Never,Somewhat unhappy,Agree,Disagree,Rarely,A lot,A little,None,Very good,"$2,000 or Less",No debt,20,17.37382889,Out of labor force
7231,Female,"Yes, enrolled in school",Two years of college,Your parent's home,0,Somewhat,Yes,Yes,Yes,Yes,Catholic,2-3 times a month,,30,No,,Yes,A few times a year,Never,Never,Never,Never,Yes,Very often,Rarely,Rarely,Somewhat happy,Agree,Strongly disagree,Never,A lot,None,None,Very good,"$8,001 - $10,000","$4,801 - $5,000",22,22.80493164,Employed and school
7239,Female,"Yes, enrolled in school",Two years of vocational/technical school,Your own place,0,Somewhat,Yes,Yes,No,Yes,Apostolic,Many times a year,,40,Yes,Several times a day,Yes,A few times a month,Never,Never,Never,Never,Yes,Very often,Fairly often,Never,Neither,Agree,Strongly disagree,Never,A lot,A little,None,Good,"$28,001 - $30,000","$1,801 - $2,000",20,28.97193146,Employed and school
7241,Male,"Yes, enrolled in school",Three years of college,Your own place,5,Somewhat,No,No,No,Yes,,A few times a year,,30,Yes,Several times a day,Unsure/Don't know,A few times a week,Five or more times,Never,A few times a month,Never,No,Sometimes,Rarely,Never,Somewhat happy,Agree,Disagree,Rarely,Some,A little,A little,Good,"$4,001 - $6,000","$2,801 - $3,000",22,25.1071434,Employed and school
7242,Male,"No, not in school",12th grade,Your parent's home,0,Somewhat,No,No,No,Yes,Catholic,Once a week,,48,No,,Yes,About once a week,Once or twice,Never,Never,Never,Yes,Very often,Sometimes,Never,Somewhat happy,Agree,Disagree,Rarely,Some,A little,A little,Good,"$38,001 - $40,000",No debt,20,27.12191391,Employed
7243,Male,"Yes, enrolled in school",Four years of college/grad school,Your own place,1,Not very,No,No,No,No,,,Not religious,0,Yes,Three to five days a week,Unsure/Don't know,About once a week,Three or four times,Never,Never,Never,No,Fairly often,Rarely,Never,Somewhat happy,Agree,Disagree,Rarely,A lot,None,A little,Very good,"$24,001 - $26,000","$1,801 - $2,000",22,22.95510292,In school only
7245,Female,"No, not in school",Four years of college/grad school,Your own place,0,Not important at all,No,No,No,No,,,Atheist,40,Yes,Several times a day,No,About once a month,Never,Once a day or more,A few times a year,Once or twice,Yes,Very often,Rarely,Rarely,Very happy,Agree,Disagree,Sometimes,Some,A little,None,Good,"$12,001 - $14,000","$1,801 - $2,000",22,18.74666595,Employed
7246,Female,"Yes, enrolled in school",Two years of college,"Group quarters, like a dorm, sorority, or fraternity house",0,Extremely important,Yes,Yes,Yes,Yes,Baptist,2-3 times a month,,0,Yes,About once a day,Yes,About once a month,Once or twice,Never,Never,Never,Yes,Very often,Very often,Never,Somewhat happy,Agree,Agree,Rarely,A lot,A little,Some,Very good,"$2,000 or Less",No debt,20,19.88883972,In school only
7249,Female,"Yes, enrolled in school",12th grade,Your parent's home,0,Very,Yes,No,No,Yes,Baptist,Many times a year,,26,Yes,Several times a day,Yes,About once a week,Once or twice,Never,Never,Never,No,Very often,Rarely,Never,Somewhat happy,Agree,Strongly disagree,Rarely,A lot,None,None,Excellent,"$8,001 - $10,000",No debt,19,21.52040863,Employed and school
7250,Female,"Yes, enrolled in school",12th grade,Your parent's home,2,Extremely important,Yes,Yes,Yes,Yes,Baptist,Many times a year,,0,Yes,About once a day,Yes,A few times a year,Never,Never,Never,Never,No,Very often,Never,Never,Very happy,Agree,Disagree,Rarely,A lot,None,None,Excellent,No income,No debt,18,20.52443695,In school only
7252,Male,"Yes, enrolled in school",12th grade,Your parent's home,1,Not important at all,No,No,No,No,,,Not religious,10,Yes,About once a day,Unsure/Don't know,About once a month,Never,A few times a year,A few times a year,Never,No,Fairly often,Sometimes,Rarely,Somewhat happy,Agree,Disagree,Rarely,Some,A little,A little,Excellent,"$8,001 - $10,000",No debt,19,23.01031494,Employed and school
7255,Female,"Yes, enrolled in school",Two years of college,Your own place,0,Extremely important,Yes,Yes,Yes,Yes,Lutheran,2-3 times a month,,36,Yes,Several times a day,Yes,A few times a month,Never,Never,Never,Never,Yes,Very often,Sometimes,Never,Somewhat happy,Strongly agree,Strongly disagree,Rarely,A lot,A little,None,Very good,"$4,001 - $6,000",No debt,21,21.45385742,Employed and school
7256,Female,"Yes, enrolled in school",12th grade,Your own place,1,Very,Yes,Yes,Yes,Yes,Baptist,Many times a year,,0,No,,Yes,Never,,Never,Never,Once or twice,Yes,Very often,Sometimes,Sometimes,Somewhat happy,Agree,Disagree,Rarely,Some,Some,None,Fair,"$2,000 or Less",No debt,21,19.13491058,In school only
7257,Female,"Yes, enrolled in school",Three years of college,Your own place,0,Somewhat,No,No,No,Yes,Catholic,Once a month,,10,Yes,About once a day,Yes,About once a week,Once or twice,Never,Never,Never,No,Very often,Sometimes,Never,Very happy,Strongly agree,Disagree,Rarely,A lot,None,None,Excellent,"$2,001 - $4,000",No debt,21,22.21487999,Employed and school
7258,Female,"Yes, enrolled in school",Two years of college,Your parent's home,0,Very,Yes,Yes,Yes,Yes,Non-denominational Protestant,2-3 times a month,,30,Yes,About once a day,Yes,A few times a month,Three or four times,Never,Never,Never,Yes,Very often,Fairly often,Rarely,Somewhat happy,Agree,Disagree,Rarely,A lot,None,None,Excellent,"$8,001 - $10,000",No debt,20,20.35865402,Employed and school
7259,Male,"Yes, enrolled in school",Three years of college,"Group quarters, like a dorm, sorority, or fraternity house",0,Not important at all,No,No,No,No,,,,0,Yes,Several times a day,Unsure/Don't know,A few times a week,Three or four times,Once a day or more,A few times a week,Never,No,Very often,Fairly often,Never,Somewhat unhappy,Strongly agree,Disagree,Rarely,A lot,None,None,Good,"$12,001 - $14,000",No debt,21,27.31674004,In school only
7260,Male,"Yes, enrolled in school",One year of college,Your own place,0,Very,Yes,Yes,Yes,Yes,Baptist,Many times a year,,0,Yes,Several times a day,Yes,About once a month,Never,Never,Never,Never,Yes,Very often,Rarely,Rarely,Very happy,Strongly agree,Strongly disagree,Rarely,A lot,Some,None,Excellent,No income,No debt,19,26.70270348,In school only
7264,Male,"Yes, enrolled in school",11th grade,Your parent's home,0,Somewhat,No,Yes,No,Yes,Christian or just Christian,A few times a year,Something else,0,No,,Yes,A few times a month,Never,Never,A few times a year,Once or twice,No,Sometimes,Sometimes,Sometimes,Neither,Disagree,Disagree,Sometimes,A lot,Some,None,Fair,"$2,000 or Less",No debt,19,18.86513138,In school only
7271,Male,"No, not in school",12th grade,Your parent's home,2,Not important at all,No,No,No,No,,,Not religious,20,Yes,Three to five days a week,Unsure/Don't know,Once a day or more,Once or twice,Once a day or more,Once a day or more,Never,No,Fairly often,Rarely,Never,Neither,Disagree,Agree,Rarely,A lot,A little,None,Good,"$6,001 - $8,000",No debt,19,23.70759773,Employed
7276,Male,"No, not in school",8th grade,Your parent's home,0,Very,No,No,Yes,Yes,Christian or just Christian,Once a month,,0,No,,Yes,A few times a week,Five or more times,Once a day or more,About once a week,Three to five times,Yes,Very often,Sometimes,Never,Very happy,Strongly agree,Agree,Sometimes,A lot,A little,None,Fair,No income,No debt,19,23.12088966,No school or work but looking
7286,Male,"No, not in school",12th grade,"Group quarters, like a dorm, sorority, or fraternity house",0,Somewhat,Yes,No,No,Yes,Catholic,A few times a year,,48,Yes,Three to five days a week,Yes,A few times a month,Once or twice,A few times a year,Never,Once or twice,No,Very often,Sometimes,Never,Somewhat happy,Agree,Disagree,Rarely,A lot,None,None,Very good,"$14,001 - $16,000","$7,801 - $8,000",20,27.09267044,Active armed forces
